Department,DepartmentCleaned
GERM,german
JWST,jwst
BSST,bsst
INAG,inag
ENMA,enma
EDPS,edps
RUSS,russian
JAPN,japn
ISRL,isrl
ENNU,ennu
ENME,enme
MUSC,music
History of Science,history science
Environmental Science,environmental science
MUSP,musp
Educational Studies,educational studies
ENSP,ensp
"Humanities, Science, Technological, and Vocational","humanities, science, technological, and vocational"
Geography,geography
Geology,geology
Computer Science,computer science
MLAW,mlaw
SPHL,sphl
SPAN,spanish
MLSC,mlsc
MUED,mued
HLTH,hlth
PUAF,puaf
PUBP,pubp
ENGR-Materials Science & Engineering,engr-materials science & engineering
Spanish,spanish
FGSM,fgsm
RELS,rels
INST,inst
MIEH,mieh
URSP,ursp
ENGR,engr
SLLC,sllc
INFO,info
Chin,chinese
Persian Studies,persian studies
SURV,surv
NFSC,nfsc
STS,sts
Nutritional Science,nutritional science
Bioengineering,bioengineering
Biochemistry,biochemistry
HISP,hisp
Astronomy,astronomy
FIRE,fire
Social Sciences,social sciences
Natural Science,natural science
SLAV,slav
MUS,music
DNCE,dnce
THTR,thtr
IADM,iadm
EDIN,edin
NUTR,nutr
ECONOMICS,economics
Sociology and Anthropology,sociology and anthropology
Microbiology,biology
ZOOOL,zoool
ANTHROPOLOGY,anthropology
FMCD,fmcd
FDSC,fdsc
HORT,hort
PHED,phed
ANIMAL SCIENCE,animal science
Zoology,zoology
MECHANICAL ENGINEERING,mechanical engineering
RLED,rled
AGEN,agen
Civil Engineering,civil engineering
ZOOLOGY,zoology
SPHR,sphr
EDAD,edad
ART,art
PHILOSOPHY,philosophy
SHOP,shop
M.E.,m.e.
SOCIOLOGY AND ANTHROPOLOGY,sociology and anthropology
CHEMISTRY,chemistry
MUSIC,music
AGRICULTURAL ENGINEERING,agricultural engineering
PHYSICS AND ASTRONOMY,physics
SPCH,spch
EDEL,edel
DART,dart
GEOGRAPHY,geography
RECR,recr
HISTORY,history
BOTANY,biology
APDS,apds
ELECTRICAL ENGINEERING,electrical engineering
AGRO,agro
Entomology,entomology
Botany,biology
FOOD,food
JOURNALISM,journalism
ME,mechanical engineering
EDLS,edls
EDSE,edse
ISM,ism
INFS,infs
PSYCH,psychology
CS,computer science
BSAD,business
HONR,honr
COMPUTER SCIENCE,computer science
EDMU,edmu
AGRICULTURAL ECONOMICS,agricultural economics
CLOTHING,clothing
HOME ECONOMICS,home economics
PHYSICAL EDUCATION,physical education
KINESIOLOGY,kinesiology
MICB,micb
CIVIL ENGINEERING,civil engineering
PLANT PATHOLOGY,plant pathology
GENETICS AND STATISTICS,genetics and statistics
FARM MECHANICS,farm mechanics
FARM MANAGEMENT,farm management
Dairy Husbandry,dairy husbandry
AROTC,arotc
MECH,mech
Asian American Studies,asian american studies
ED,education
ENG,english
Soils,soils
Agron,agron
Economics and Sociology,economics and sociology
Plant Physiology and Biochemistry,plant physiology and biochemistry
Ac. ED.,ac. ed.
AG. ED.,ag. ed.
A.E.,a.e.
Public Speaking,public speaking
Education,education
HORTICULTURE,horticulture
Bacteriology,bacteriology
EDUCATION,education
Soc,sociology
Comparative Literature,comparative literature
H. E. ED.,h. e. ed.
ENTOMOLOGY,entomology
DR.,dr.
C. E.,c. e.
PHYS. ED.,phys. ed.
CHEMICAL ENGINEERING,chemical engineering
HEALTH EDUCATION,health education
HSAD,hsad
SPECIAL EDUCATION,special education
Music,music
RATV,ratv
Speech and Dramatic Art,speech
BACTERIOLOGY,bacteriology
Hort.,hort.
Ag. Ed.,ag. ed.
PS,ps
ML,ml
Dairy,dairy
H. E. Ed.,h. e. ed.
Prin. Ed.,prin. ed.
BAdm,badm
RURAL ORGANIZATION,rural organization
Hort,hort
Art,art
Pol. Sc.,pol. sc.
Cloth,cloth
Agricultural,agricultural
E. E.,e. e.
Agricultural Husbandry,agricultural husbandry
Surv.,surv.
A. H.,a. h.
Ph.,ph.
Zool,zoology
Agron.,agron.
H,h
Eng,english
El. Lab.,el. lab.
E,e
Agriculture,agriculture
Plt. Path.,plt. path.
Surv,surv
Agriculture (A.H.),agriculture (a.h.)
Bot.,bot.
Hyd.,hyd.
ENGLISH LANGUAGE AND LITERATURE,english language and literature
Plt. Phy.,plt. phy.
Eng.,eng.
PSYCHOLOGY,psychology
CRAF,craf
AGRONOMY,agronomy
Latin American Studies,latin american studies
Chinese,chinese
H ADM,h adm
Chem,chemistry
English,english
Bact,bact
V. M.,v. m.
Foods,foods
Tex.,tex.
Library Science,library science
Math.,math.
M. Des.,m. des.
Political Science,political science
GEOLOGY,geology
Rwys,rwys
Phys Lab,phys lab
Phys,physics
Zool.,zool.
PLANT PHYSIOLOGY,plant physiology
MORPHOLOGY AND MYCOLOGY,morphology and mycology
Str,str
ENGLISH,english
M. L.,m. l.
FINANCE,finance
Hwys.,hwys.
Exp. Lab.,exp. lab.
H. M.,h. m.
BUSINESS ADMINISTRATION,business
Stat,statistics
DANCE,dance
RUSSIAN,russian
NUTRITION,nutrition
GERMANIC AND SLAVIC LANGUAGES AND LITERATURES,germanic and slavic languages and literatures
TEXT,text
SECONDARY EDUCATION,secondary education
FRENCH AND ITALIAN LANGUAGES AND LITERATURES,french and italian languages and literatures
ITALIAN,italian
Statistics,statistics
AGRICULTURAL AND EXTENSION EDUCATION,agricultural and extension education
Classics,classics
ENTM,entm
Transportation,transportation
EDIT,edit
EDPA,edpa
Cinema/Video,cinema/video
Mechanical Engineering,mechanical engineering
RTVF,rtvf
BOTN,botn
DESN,desn
"Industrial, Technologic","industrial, technologic"
CNEC,cnec
CRIM,crim
ENGL-English,engl-english
CJUS,cjus
URBS,urbs
ENAG,enag
Pharmacy,pharmacy
Pharmacy Administration,pharmacy administration
Health Education,health education
FSAD,fsad
ZOOL,zoology
English Education,english education
Curriculum and Instruction,curriculum and instruction
BIOL,biology
Social Science,social science
ARTE,arte
"Engineering, Civil","engineering, civil"
MUSC-Music,musc-music
BACT,bact
EDCi,education
MAPL,mapl
AEED,aeed
AGRI,agri
Industrial Arts and Vocational Education,industrial arts and vocational education
NRMT,nrmt
NUSC,nusc
MUSE,muse
German,german
ARTH - Art History & Archaeology,arth - art history & archaeology
UNIV,univ
M.B.A.,m.b.a.
Special and Continuation Studies,special and continuation studies
GEMS,gems
ENGR-Fire Protection Engineering,engr-fire protection engineering
ELECT,elect
Germanic Studies,germanic studies
East Asian Languages and Literatures,east asian languages and literatures
Theatre,theater
"Engineering, Electrical","engineering, electrical"
THET - Theatre,thet - theatre
RLST,rlst
Rad,rad
G. & P.,g. & p.
Nurs,nursing
Agricultural Economics and Marketing,agricultural economics and marketing
Phys.,phys.
P. E.,p. e.
Italian,italian
Russian,russian
Modern Greek,modern greek
Physiology,physiology
Medicine,medicine
Management,business
Psych,psychology
DEVELOPMENT EDUCATION,development education
SPECIAL AND CONTINUATION STUDIES,special and continuation studies
Rec,rec
P.E.,p.e.
Speech,speech
INDUSTRIAL EDUCATION,industrial education
Pharmacology,pharmacology
School of Pharmacy,school pharmacy
Geog,geography
SPEECH AND DRAMATIC ART,speech
Hea.,hea.
Prev. Med.,prev. med.
Physiol.,physiol.
CPBE,cpbe
Nur,nursing
Hea,hea
Ed,education
Agricultural Engineering,agricultural engineering
Rural Education,rural education
R. Ed.,r. ed.
Ed.,ed.
NURSING,nursing
Econ,economics
Microbiol,microbiol
Med,med
Physiol,physiol
Aero. E.,aero. e.
AE,ae
Nursing Education,nursing education
Nursing,nursing
Aero. E,aero. e
SOCIOLOGY,sociology
Agricultural Education and Rural Life,agricultural education and rural life
Agricultural Economics,agricultural economics
E.E.,e.e.
Chem.,chem.
Bact.,bact.
MEDICINE,medicine
Agr. Engr.,agr. engr.
BIOLOGICAL CHEMISTRY,biological chemistry
Ch. E.,ch. e.
Health,health
Radiology,radiology
Psychiatry,psychiatry
"LANGUAGES AND LITERATURE, FOREIGN","languages and literature, foreign"
JOURNALISM AND PUBLIC RELATIONS,journalism and public relations
Pathology,pathology
Ophthalmology,ophthalmology
Obstetrics and Gynecology,obstetrics and gynecology
MiCB,micb
METO,meto
MICR,micr
"Industrial, Techno","industrial, techno"
ENGINEERING AND AERONAUTICAL SCIENCES,engineering and aeronautical sciences
Occupational Education,occupational education
PERH,perh
DAIRY,dairy
Bot,bot
Veterinary Science,veterinary science
Poultry Husbandry,poultry husbandry
Office Techniques and Management,office techniques and management
Business and Public Administration,business and public administration
Journ,journ
COLLEGE OF AGRICULTURE,college agriculture
Pr. Art,pr. art
Tex,tex
Clo,clo
Philosophy,philosophy
M. E.,m. e.
Home Economics,home economics
H. D. Ed.,h. d. ed.
G. and P.,g. and p.
French,french
Industrial Education,industrial education
Portuguese,portuguese
Hebrew,hebrew
Poultry Science,poultry science
ARTS,art
Nutrition,nutrition
V. S.,v. s.
P. H.,p. h.
B.A.,b.a.
European History,european history
Plant Pathology,plant pathology
Aeronautical Engineering,aeronautical engineering
Management Science,management science
Animal Husbandry,animal husbandry
Agronomy-Crops and Soils,agronomy-crops and soils
Greek,greek
Mus. Ed.,mus. ed.
Human Development Education,human development education
Forestry,forestry
P. R.,p. r.
Horticulture,horticulture
FRENCH,french
English Language and Literature,english language and literature
INSTITUTION MANAGEMENT,institution management
Textiles,textiles
Aerospace Engineering,aerospace engineering
Trades and Industry Education,trades and industry education
CM,cm
Arts Education,arts education
Industrial Arts,industrial arts
LiNG,linguistics
EDC,edc
Civil,civil
Physics Education,physics education
Mech,mech
THEATRE,theater
FST,fst
"Industrial, Tech","industrial, tech"
ICS,ics
Office Technology,office technology
Comp Lit,comp lit
Journ.,journ.
ChE,che
Rec.,rec.
PHYSICAL THERAPY,physical therapy
"PHYSICAL EDUCATION, RECREATION AND HEALTH","physical education, recreation and health"
Practical Art,practical art
Crafts,crafts
DRAWING,drawing
M.S.,m.s.
A.S.,a.s.
Business Education,business education
Linguistics,linguistics
Chemical Engineering,chemical engineering
Engineering and Aeronautical Sciences,engineering and aeronautical sciences
H.E.,h.e.
Inst. Mgt.,inst. mgt.
BPA,bpa
Military Science,military science
Foods and Nutrition,foods and nutrition
Engr.,engr.
BUSINESS AND PUBLIC ADMINISTRATION,business and public administration
Dairy Technology,dairy technology
Sp.,sp.
Mus,music
Surveying,surveying
Phil,philosophy
B. A.,b. a.
Econ.,econ.
Mechanics,mechanics
"Engineering, Chemical","engineering, chemical"
B. Crafts,b. crafts
Soc.,soc.
Mus.,mus.
Cr.,cr.
A. S.,a. s.
Psych.,psych.
C. Ed.,c. ed.
Pharmacy and Health Care,pharmacy and health care
P. E. R. H.,p. e. r. h.
Hist.,hist.
MISN,misn
Textiles and Clothing,textiles and clothing
FMST,fmst
NRSC,nrsc
POULTRY,poultry
PLT. PHYS,plt. phys
EcoN,economics
CJ,cj
PLANT PHYSIOLOGY AND BIOCHEMISTRY,plant physiology and biochemistry
MILITARY SCIENCE AND TACTICS,military science and tactics
PIT. PATH.,pit. path.
PLT. PATH.,plt. path.
ENGR.,engr.
GREEK,greek
F. MECH.,f. mech.
KORA,kora
ECEN,ecen
PLT. PATH,plt. path
Arch,architecture
GERMAN,german
Community Health,community health
Public Health,public health
Finance,finance
AG. ED,ag. ed
H. E.,h. e.
D. H.,d. h.
PoL. ScI.,pol. sci.
History and Political Science,history and political science
Gen.,gen.
Zoology and Aquaculture,zoology and aquaculture
BoT,bot
ENT,ent
AM,am
CC,cc
Latin,latin
Plant Biochemistry,plant biochemistry
Drafting,drafting
PHYSICS,physics
Mechanical Drawing,mechanical drawing
B. Vegetable Crops,b. vegetable crops
Floriculture,floriculture
ZooL,zoology
HOME ECONOMICS EDUCATION,home economics education
Health Sciences,health sciences
Dance,dance
Biometry and Statistics,biometry and statistics
H. History,h. history
ED.,ed.
Foods and Nuitrition,foods and nuitrition
USE,use
INFT,inft
ECE,electrical engineering
Nut.,nut.
Shop,shop
C.E.,c.e.
Met,met
Agr,agr
HUMAN DEVELOPMENT EDUCATION,human development education
O.T.,o.t.
Classical Languages and Literatures,classical languages and literatures
Business Organization and Administration,business organization and administration
Practical Art and Crafts,practical art and crafts
Agronomy,agronomy
Journalism and Public Relations,journalism and public relations
Phil.,phil.
Geol,geology
HOME AND INSTITUTION MANAGEMENT,home and institution management
HOME ECONOMICS EXTENSION,home economics extension
B. Ed.,b. ed.
Clo.,clo.
H. E. Ed,h. e. ed
O. T.,o. t.
SCHOOL OF PHARMACY,school pharmacy
C. Recreation,c. recreation
CHINESE,chinese
TEXTILES,textiles
Metallurgy,metallurgy
Physical Education,physical education
Foreign Languages and Literatures,foreign languages and literatures
Drawing,drawing
Home Management,home management
HEBREW,hebrew
Fire Protection,fire protection
Met.,met.
Sp,sp
H.E. Ed.,h.e. ed.
H.,h.
Advertising,advertising
Applied Physics,applied physics
Human Development,human development
DAIRY HUSBANDRY,dairy husbandry
AGRON,agron
SOILS,soils
HISTORY AND POLITICAL SCIENCE,history and political science
SoILS,soils
A. E.,a. e.
ANIMAL HUSBANDRY,animal husbandry
Home Economics Education,home economics education
SPANISH,spanish
Farm Management,farm management
Nut,nut
"Languages and Literature, Foreign","languages and literature, foreign"
Pharmaceutical Chemistry,pharmaceutical chemistry
Ent.,ent.
Zoology and Aquiculture,zoology and aquiculture
AG,ag
Applied Mathematics,applied mathematics
Accounting,accounting
OFFICE TECHNIQUES AND MANAGEMENT,office techniques and management
PEHR,pehr
SOCILOGY,socilogy
RECREATION,recreation
Dairy Products Technology,dairy products technology
ZOOLOGY AND AQUICULTURE,zoology and aquiculture
D. H,d. h
COMP. LIT,comp. lit
Business and Management,business and management
ECONOMICS AND BUSINESS ADMINISTRATION,economics and business administration
Speech Communication,speech
MUSC - Music,musc - music
Industrial Technology,industrial technology
HEB,heb
ENGR-Mechanical Engineering,engr-mechanical engineering
ENSC,ensc
ENGR-Civil & Environmental Engineering,engr-civil & environmental engineering
Lat,lat
POLITICAL SCIENCE,political science
PLT. PHYS.,plt. phys.
LIBRARY SCIENCE,library science
LAT,lat
Communication Studies Track,communication studies track
JWST - Jewish Studies,jwst - jewish studies
POULTRY HUSBANDRY,poultry husbandry
IND. CHEM.,ind. chem.
PUBLIC SPEAKING,public speaking
F. MECH,f. mech
ARCH - Architecture,arch - architecture
"ARHU-School of Languages, Literatures, and Cultures","arhu-school languages, literatures, and cultures"
ENGE,enge
Biology and Molecular Genetics,biology and molecular genetics
Agricultural Education,agricultural education
"Languages, Literatures, and Cultures","languages, literatures, and cultures"
ENGR-Electrical & Computer Engineering,engr-electrical & computer engineering
ORGANIC CHEMISTRY,organic chemistry
ANALYT. CHEM.,analyt. chem.
Physical Education for Women,physical education for women
"Industrial, Technological","industrial, technological"
General,general
Bacteriology and Pathology,bacteriology and pathology
Graduates,graduates
ECONOMICS AND SOCIOLOGY,economics and sociology
GEN.,gen.
B. German,b. german
C. Spanish,c. spanish
For Advanced Undergraduates,for advanced undergraduates
PouLTRY,poultry
DRAMATIC ART,theater
Textile Science,textile science
Marketing,marketing
TXAP,txap
HIUS,hius
Mechanical and Electrical Engineering,mechanical and electrical engineering
CLASSICS,classics
VETERINARY MEDICINE,veterinary medicine
MATHEMATICS,mathematics
ELL,ell
CE,civil engineering
Pol. Sci,pol. sci
ENTOMOLOGY AND BEE CULTURE,entomology and bee culture
General Engineering,general engineering
FOR,for
BIOCHEMISTRY,biochemistry
Home and Institutional Management,home and institutional management
MICROBIOLOGY,biology
SOC,sociology
GUID,guid
GEN,gen
HoRT,hort
IFSM,ifsm
STUDIO ART,studio art
LENF,lenf
General Education,general education
LATIN,latin
Atmospheric and Oceanic Science,atmospheric and oceanic science
Physical Chemistry,physical chemistry
Business Management,business management
AGRON.,agron.
C. Floriculture,c. floriculture
IST,ist
Occupational Therapy,occupational therapy
University,university
Public Health Science,public health science
HIST - History,hist - history
Str. Des.,str. des.
Military,military
HIFN,hifn
CROPS,crops
"EDSP - Education, Special","edsp - education, special"
Environmental Resources,environmental resources
Human Ecology,human ecology
Radio Television and Film,radio television and film
MKT,mkt
"IME - Engineering, Mechanical","ime - engineering, mechanical"
SOCI,sociology
CLAS - Classics,clas - classics
"NEEE - Engineering, Electrical","neee - engineering, electrical"
Engr,engr
Gen,gen
IT,it
D.H.,d.h.
AH,ah
Pol. Sci.,pol. sci.
Plt Phys,plt phys
Biochem,biochem
L,l
F. E.,f. e.
ENC,enc
Civil & Environmental Engineering,civil & environmental engineering
Art & Art History,art & art history
Environmental Sciences,environmental sciences
NE,ne
"ENEE - Engineering, Electrical","enee - engineering, electrical"
Economics and Business Administration,economics and business administration
AGR. ENG.,agr. eng.
Agricultural Education and Rural Sociology,agricultural education and rural sociology
HoRT.,hort.
For.,for.
Agricultural Sciences,agricultural sciences
PHYSICAL CHEMISTRY,physical chemistry
ORG. CHEM.,org. chem.
FARM MANAGEMENT AND AGRICULTURAL ECONOMICS,farm management and agricultural economics
GEOLOGY AND MINERALOGY,geology and mineralogy
AG. CHEM.,ag. chem.
POL. SCI.,pol. sci.
A.H.,a.h.
GERMANIC LANGUAGES AND LITERATURE,germanic languages and literature
Poultry,poultry
P.S.,p.s.
MECH.,mech.
HISPANIC LANGUAGES AND LITERATURES,hispanic languages and literatures
ROMANCE LANGUAGES AND LITERATURES,romance languages and literatures
CLOTH,cloth
PHYS. CHEM.,phys. chem.
"Engineering, Nuclear","engineering, nuclear"
AGEC,agec
AMST - American Studies,amst - american studies
Avit,avit
CRAFTS,crafts
GENETICS,genetics
PORTUGUESE,portuguese
AGRICULTURE,agriculture
Architecture,architecture
AGNE,agne
PY,py
AS,as
GE,ge
BSC,biology
GEO,geography
Operations Management,operations management
GY,gy
CTD,ctd
AC,ac
PHL,phl
GS,gs
GR,gr
SW,sw
ASL,asl
KIN,kinesiology
COM,com
HY,history
CIS,cis
MAP,map
ANT,ant
NEW,new
Humanities,humanities
Writing,writing
ARH,art history
IBA,iba
HCAN,hcan
CIE,cie
CHS,chs
CRD,crd
BSP,bsp
CSM,csm
HHE,hhe
MIS,mis
POR,por
CHE,che
FL,fl
Addiction and Recovery,addiction and recovery
AEM,aem
Fine Arts,fine arts
NUR,nursing
APR,apr
GN,gn
AMS,ams
ATR,atr
HU,hu
REL,religion
FI,fi
ST,st
EC,ec
GES,ges
TH,th
NCLT,nclt
BCE,bce
BEF,bef
BEP,bep
RHM,rhm
Foreign Languages,foreign languages
Social and Behavioral Sciences,social and behavioral sciences
CH,ch
MC,mc
SP,sp
NUS,nus
MST,mst
MTE,mte
AHE,ahe
LA,la
OM,om
EN,en
BER,ber
SPE,spe
GBA,gba
NHM,nhm
CEE,cee
HD,hd
MUSM,musm
MGT,mgt
FR,fr
BA,business
LS,ls
JCM,jcm
PSC,psc
WS,ws
Foreign Language,foreign language
NSE,nse
Japanese,japanese
CD,cd
CSE,cse
MUE,mue
CL,cl
EDU,edu
DN,dn
RL,rl
CHI,chi
HES,hes
,
SB,sb
DNCA,dnca
ARB,arb
HI,hi
EFHP,efhp
"Foreign Language, Humanities","foreign language, humanities"
W,w
LAS,las
VIET,viet
PH,physics
DR,dr
MUA,music
MS,ms
INTE,inte
TCF,tcf
Human Nutrition,human nutrition
AIL,ail
AY,ay
GRS,grs
SS,ss
Marine Science,marine science
WL,wl
Romance Languages,romance languages
AEL,ael
JN,jn
Studio Art,studio art
Pol Sci,pol sci
Nursing Science,nursing science
THAI,thai
INDO,indo
UH,uh
MLC,mlc
RUS,rus
HCM,hcm
ELI,eli
EXD,exd
LGS,lgs
MIL,mil
BIO,bio
ENV,env
THEA,thea
CRJ,crj
UA,ua
Science,science
Public Policy,public policy
CIP,cip
SWED,swed
KOR,kor
AFS,afs
POL,pol
FIN,fin
FA,fa
MTCH,mtch
Religious Studies,religious studies
JA,ja
Communications,communications
IS,is
Finance (FI),finance (fi)
Arts,art
Environmental Studies,environmental studies
Gender Studies,gender studies
Law,law
Human Development and Family Studies,human development and family studies
ER,er
Honors,honors
Criminal Justice,criminal justice
Soc. Wel. Pol. & Serv.,soc. wel. pol. & serv.
Near East,near east
Spanish (SP),spanish (sp)
Educational Psychology,educational psychology
Materials Engineering,materials engineering
Educational Leadership,educational leadership
Electrical and Computer Engineering,electrical and computer engineering
Social Work,social work
Fin,fin
Environmental Policy,environmental policy
Instructional Technology,instructional technology
Educational Foundations,educational foundations
Astrophysics,astrophysics
POPH,poph
LAW,law
Norwegian,norwegian
Vietnamese,vietnamese
Soc Work,soc work
Physics (PH),physics (ph)
New College,new college
CBH,cbh
Speech Language Pathology,speech language pathology
Higher Education,higher education
Reading Education,reading education
Jewish Studies,jewish studies
GRADUATE,graduate
Swahili,swahili
Swedish,swedish
General Chemistry,general chemistry
Elementary Education,elementary education
Communication Studies,communications
CURRICULUM AND INSTRUCTION,curriculum and instruction
CHEMICAL AND BIOLOGICAL ENGINEERING,chemical and biological engineering
Leadership,leadership
COUNSELOR EDUCATION,counselor education
Geological Sciences (GEO),geological sciences (geo)
POLISH,polish
NS,ns
PHYSICS (PH),physics (ph)
Dutch,dutch
WOMEN'S STUDIES (WS),women's studies (ws)
UFE,ufe
Cultural Studies,cultural studies
SOCW,socw
Human Development and Family Studies (HD),human development and family studies (hd)
General Business,general business
GERMAN (GN),german (gn)
EPR,epr
EH,english
ECG,ecg
ARS,ars
AAS,aas
THR,theater
MU,music
PE,physical education
EEC,eec
DCS,dcs
HIM,him
BME,biomedical engineering
NMT,nmt
HPE,hpe
EDF,edf
EDT,edt
ECY,ecy
BY,by
AHS,ahs
International Studies,international studies
Urban Affairs,urban affairs
Justice Sciences,justice sciences
MUP,mup
Marine Environmental Science,marine environmental science
African American Studies (AAS),african american studies (aas)
MG,mg
GER,ger
HE,he
QM,qm
ITS,its
EHS,ehs
ECT,ect
MK,mk
FN,fn
MESC,mesc
International Business,international business
STH,sth
ES,es
Counseling,counseling
Marketing (MK),marketing (mk)
MA,ma
JPA,jpa
NBL,nbl
IB,ib
EMS,ems
LT,lt
UHP,uhp
Gerontology,gerontology
MSE,mse
ELC,elc
Music Performance,music performance
FLL,fll
SPA,spa
ARA,ara
ITL,itl
CT,ct
EGR,egr
Group Studies,group studies
Individual Studies,individual studies
"Arts, College of the","arts, college the"
Arts and Sciences,arts and sciences
LAWS,laws
EALC,ealc
Architectural Engineering,architectural engineering
Honors College,honors college
TE,te
College of Engineering,college engineering
English (EN),english (en)
"Secondary Curriculum, Teaching and Learning (CSE)","secondary curriculum, teaching and learning (cse)"
Art History,art history
Astron,astron
American Studies,american studies
Mass Communication,mass communication
Gender and Sexuality Studies,gender and sexuality studies
General Studies,general studies
History (HY),history (hy)
Educ,education
College of Arts and Sciences,college arts and sciences
Music Education,music education
New,new
University Honors,university honors
Biol,biology
HSCI,hsci
Language Arts,language arts
Hispanic Studies,hispanic studies
Literature,literature
AT,at
EPOB,epob
MFE,mfe
Biological Sciences,biology
C&I,c&i
HDFS,human development
Research Methods,research methods
SYST,syst
Physics and Astronomy,physics
Atmospheric Sciences,atmospheric sciences
Aviation,aviation
Consumer Sciences,consumer sciences
B. Ed,b. ed
SURVEYING,surveying
Ent,ent
For,for
MODERN LANGUAGES,modern languages
Hydrology,hydrology
Food and Nutrition,food and nutrition
PLS,pls
Civil and Environmental Engineering,civil and environmental engineering
Computer Engineering,computer engineering
Oratory,oratory
Academic Education and Rural Life,academic education and rural life
COLLEGE OF MILITARY SCIENCE,college military science
N. Ed.,n. ed.
PLT PHYS,plt phys
PLT,plt
H. 101,h. 101
PoL. Sci.,pol. sci.
P. S.,p. s.
Industrial Chemistry,industrial chemistry
AERONAUTICAL ENGINEERING,aeronautical engineering
Geog.,geog.
HEALTH,health
HUMAN DEVELOPMENT,human development
Clothing,clothing
Liberal Studies,liberal studies
Geometry and Topology,geometry and topology
Biological Science,biological science
GREE,gree
African American Studies,african american studies
C,other
Comm,communications
Physical Medicine and Rehabilitation,physical medicine and rehabilitation
Physical Therapy,physical therapy
Information Studies,information studies
BM,bm
BE,be
Health and Exercise Science,health and exercise science
Materials Science,materials science
Lighting,lighting
School Psychology,school psychology
Counselor Education,counselor education
EDVT,edvt
Global Health,global health
Matl,matl
ET,et
Printing,printing
Turkish,turkish
Astronautics,astronautics
AR,ar
N/A,n/a
Human Geography,human geography
Res Physical Geog,res physical geog
LINGUISTICS,linguistics
Min. E.,min. e.
NH,nh
HIS,his
Undergraduate Catalog,undergraduate catalog
Cartography,cartography
Metallurgical Engineering,metallurgical engineering
GM,gm
Management Information Systems,management information systems
Mechanical,mechanical
Animal Science,animal science
"History, Foreign","history, foreign"
ETME,etme
"Engineering, Mechanical","engineering, mechanical"
Institute of Criminal Justice and Criminology,institute criminal justice and criminology
Technical Drawing,technical drawing
EDSF,edsf
Institute for Urban Studies,institute for urban studies
Recreation,recreation
Agricultural and Extension Education,agricultural and extension education
Art Studio,art studio
Air Science,air science
Urban Studies,urban studies
Applied Design,applied design
Hearing and Speech Sciences,hearing and speech sciences
Engineering Technology,engineering technology
Engineering Science,engineering science
"Education, Special","education, special"
Military Studies,military studies
Engineering Sciences,engineering sciences
P. T.,p. t.
Path,path
Anat,anat
Art Education,art education
E. S.,e. s.
Special Education,special education
"Food, Nutrition, and Institution Management","food, nutrition, and institution management"
Science Education,science education
TEXTILES AND CLOTHING,textiles and clothing
Ind,ind
G and P,g and p
Eng. Lang. and Lit.,eng. lang. and lit.
Nuclear Engineering,nuclear engineering
"Near Eastern, Judaic, and Hellenic Languages and Literatures","near eastern, judaic, and hellenic languages and literatures"
EDCD,edcd
Management Science/Statiatica,management science/statiatica
IDEA,idea
Animal Sciences,animal sciences
Chemical and Biomolecular Engineering,chemical and biomolecular engineering
NURS,nursing
Vet med,vet med
Vocational Education,vocational education
Welding Engineering,welding engineering
ARHU-Art,arhu-art
P.T.,p.t.
Comp. Lit.,comp. lit.
Foreign Languages and Literature,foreign languages and literature
